Bigram,Frequency
"('labolympics2024', 'paris2024')",5
"('brasil', 'olimpiadasparis2024')",5
"('mais', 'linda')",5
"('meninas', 'brasil')",5
"('da', 'apresentao')",5
"('ante', 'da')",5
"('chorando', 'ante')",5
"('rtmica', 'chorando')",5
"('farezin', 'da')",5
"('camila', 'farezin')",5
"('tcnica', 'camila')",5
"('da', 'tcnica')",5
"('filha', 'da')",5
"('linda', 'filha')",5
"('member', 'country')",5
"('mat', 'parris')",5
"('aps', 'nadar')",5
"('handshake', 'highfives')",5
"('par', 'emmanuel')",5
"('bjpfails', 'vineshpogath')",5
"('vineshpogath', 'olympics2024')",5
"('olympics2024', 'kalaignarseithigal')",5
"('ouro', 'paris2024')",5
"('🏅', '🏆')",5
"('sena', 'ouro')",5
"('hockey', 'hockey')",5
"('paris2024', 'here')",5
"('highfives', 'hug')",5
"('paris', 'handshake')",5
"('marcela', 'cunha')",5
"('incansavelmente', 'por')",5
"('lady', 'gentleman')",5
"('israel', 'olympics2024')",5
"('por', 'mais')",5
"('arriving', 'paris')",5
"('go', 'australia')",5
"('kate', 'douglas')",5
"('que', 'rio')",5
"('prideolympics2024', 'kotakmahindrabank')",5
"('told', 'arriving')",5
"('hug', 'forbiddenolympics2024source')",5
"('starting', 'journey')",5
"('le', 'village')",5
"('journey', 'towards')",5
"('air', 'inciting')",5
"('inciting', 'israeli')",5
"('israeli', 'delegation')",5
"('delegation', 'paris')",5
"('olympics', 'iran')",5
"('iran', 'israel')",5
"('progress', 'next')",5
"('able', 'progress')",5
"('simwaka', 'able')",5
"('👥', 'teamireland')",5
"('🏆', 'least')",5
"('least', '🥇')",5
"('🥇', 'medallets')",5
"('medallets', 'pray')",5
"('state', 'tv')",5
"('iranian', 'state')",5
"('pray', 'vote')",5
"('vote', 'neerajchopra')",5
"('neerajchopra', 'phogatvinesh')",5
"('phogatvinesh', '🥇')",5
"('historic', 'victory')",5
"('ana', 'marcela')",5
"('tv', 'air')",5
"('today', 'honour')",5
"('high', 'prideolympics2024')",5
"('cunha', 'termina')",5
"('giochiolimpici', 'paris2024')",5
"('nadar', 'incansavelmente')",5
"('heart', 'soaring')",5
"('declared', 'national')",5
"('soaring', 'high')",5
"('starrfm', 'parisolympics2024')",5
"('national', 'holiday')",5
"('starrnews', 'starrfm')",5
"('holiday', 'today')",5
"('honour', 'letsile')",5
"('olympics2024electionhub', 'starrnews')",5
"('👥', 'told')",5
"('termina', 'em')",5
"('aqutica', 'aps')",5
"('field', 'hockey')",5
"('em', 'lugar')",5
"('mais', 'esgoto')",5
"('event', 'olympics2024electionhub')",5
"('lugar', 'maratona')",5
"('esgoto', 'que')",5
"('went', 'reigning')",4
"('o', 'jogos')",4
"('coach', 'gian')",4
"('heartbreak', 'pain')",4
"('boxing', 'woman')",4
"('paris2024', 'volei')",4
"('singhvinesh', 'phogat')",4
"('alleges', 'wfis')",4
"('phogat', 'alleges')",4
"('reigning', '👑')",4
"('gian', 'singhvinesh')",4
"('olympics', 'celebrate')",4
"('ioc', 'president')",4
"('chopra', 'went')",4
"('mexicano', 'juan')",4
"('chief', 'coach')",4
"('boy', 'neeraj')",4
"('🏅', 'golden')",4
"('alfred', 'battle')",4
"('richardson', 'julien')",4
"('singh', 'milkha')",4
"('singh', 'pt')",4
"('india', 'indian')",4
"('deserves', '🥇')",4
"('new', 'chapter')",4
"('paris', 'capit')",4
"('gabi', 'e')",4
"('🏅', 'increase')",4
"('protect', '🏅')",4
"('usha', 'missed')",4
"('ensure', 'protect')",4
"('today', 'ensure')",4
"('meeting', 'today')",4
"('strategic', 'meeting')",4
"('sport', 'strategic')",4
"('e', 'tcnico')",4
"('tcnico', 'jos')",4
"('jos', 'roberto')",4
"('roberto', 'falou')",4
"('falou', 'da')",4
"('da', 'expectativa')",4
"('expectativa', 'para')",4
"('wrestling', 'chief')",4
"('wfis', 'sabotage')",4
"('today', 'day')",4
"('champspourelles', 'venez')",4
"('parisolympics', 'nock')",4
"('ministry', 'sport')",4
"('warning', 'paris')",4
"('philippine', 'boxing')",4
"('bronze', 'philippine')",4
"('qu', 'momento')",4
"('take', 'bronze')",4
"('momento', 'celebran')",4
"('celebran', 'al')",4
"('petecio', 'take')",4
"('et', 'culture')",4
"('bronze', 'nesthy')",4
"('final', 'lane')",4
"('al', 'subcampen')",4
"('grand', 'oral')",4
"('cio', 'lausanne')",4
"('subcampen', 'olmpico')",4
"('olmpico', 'mexicano')",4
"('ioa', 'warning')",4
"('une', 'exprience')",4
"('par', 'gayosso')",4
"('medalla', 'par')",4
"('campeonatos', 'por')",4
"('le', 'stand')",4
"('disqualified', 'men')",4
"('parque', 'campeonatos')",4
"('celaya', 'parque')",4
"('manuel', 'celaya')",4
"('famille', 'paris2024')",4
"('candidacy', 'olympic')",4
"('nombreuses', 'le')",4
"('paris', 'candidacy')",4
"('nock', 'ministry')",4
"('juillet', 'pour')",4
"('changer', 'fdj')",4
"('juan', 'manuel')",4
"('herewith', 'day')",4
"('get', 'herewith')",4
"('sabotage', 'claiming')",4
"('feeling', 'get')",4
"('beat', 'feeling')",4
"('nothing', 'beat')",4
"('parisolympics', 'ptusha')",4
"('ioavimalsports', 'parisolympics')",4
"('claiming', 'aim')",4
"('👑', 'compete')",4
"('aim', 'shatter')",4
"('olympics', 'ioavimalsports')",4
"('shatter', 'olympic')",4
"('final', 'tonight')",4
"('word', 'parisparis2024madeforsharing')",4
"('dream', 'doping')",4
"('doping', 'case')",4
"('journey', 'parisolympics')",4
"('lane', 'violation')",4
"('battle', 'semifinal')",4
"('wrestlingtrials24', 'wrestling')",4
"('paris2024', 'wrestlingtrials24')",4
"('france', 'aujourdhui')",4
"('semifinal', 'woman')",4
"('greek', 'athlete')",4
"('cio', 'tonyestanguet')",4
"('ntouskos', 'pass')",4
"('pass', 'torch')",4
"('champspourelles', 'paris2024')",4
"('brain', 'parisolympics')",4
"('brawn', 'brain')",4
"('allbeauty', 'brawn')",4
"('got', 'allbeauty')",4
"('graduate', 'shes')",4
"('harvard', 'graduate')",4
"('also', 'harvard')",4
"('👑', 'also')",4
"('final', 'winning')",4
"('dominated', 'woman')",4
"('thomas', 'dominated')",4
"('curve', 'gabby')",4
"('ahead', 'curve')",4
"('torch', 'french')",4
"('shes', 'ahead')",4
"('beachhandball', 'parisolympics')",4
"('cape', 'beachhandball')",4
"('sal', 'cape')",4
"('🎮', 'sal')",4
"('notre', 'unit')",4
"('avenir', 'commun')",4
"('beach', '🎮')",4
"('african', 'beach')",4
"('preparation', 'african')",4
"('year', 'preparation')",4
"('athlete', 'stefanos')",4
"('olympics', 'greek')",4
"('remember', 'last')",4
"('ela', 'chegaram')",4
"('issue', 'entire')",4
"('nation', 'share')",4
"('grande', 'vitesse')",4
"('vitesse', 'dcouvrez')",4
"('dcouvrez', 'train')",4
"('train', 'habills')",4
"('habills', 'pour')",4
"('pour', 'loccasion')",4
"('je', 'fais')",4
"('fais', 'infidlits')",4
"('infidlits', 'au')",4
"('au', 'curling')",4
"('curling', 'une')",4
"('une', 'tentative')",4
"('tentative', 'enescrime')",4
"('enescrime', 'pour')",4
"('paris2024', 'marquons')",4
"('share', 'heartbreak')",4
"('marquons', 'la')",4
"('la', 'touche')",4
"('touche', 'pour')",4
"('thought', 'well')",4
"('done', 'tdf2017')",4
"('tdf2017', 'meet')",4
"('meet', 'grandpalais')",4
"('grandpalais', 'meet')",4
"('meet', 'paris2024')",4
"('paris2024', 'cycling')",4
"('la', 'cuffia')",4
"('french', 'swimmer')",4
"('swimmer', 'laure')",4
"('u', 'show')",4
"('saint', 'lucia')",4
"('make', 'saint')",4
"('chandigarhindian', 'open')",4
"('success', 'make')",4
"('chegou', 'em')",4
"('olympics', 'success')",4
"('alfred', '🥇')",4
"('celebrate', 'julien')",4
"('proudly', 'celebrate')",4
"('bay', 'proudly')",4
"('coconut', 'bay')",4
"('progress', 'chandigarhindian')",4
"('walk', 'progress')",4
"('indian', 'contingent')",4
"('legendary', 'milkha')",4
"('start', 'men')",4
"('good', 'start')",4
"('ready', 'host')",4
"('vos', 'dessins')",4
"('aujourdhui', 'olympics2024')",4
"('finalolympics', 'athletics')",4
"('miss', 'finalolympics')",4
"('year', 'miss')",4
"('olympicsthats', 'first')",4
"('paris2024', 'olympicsthats')",4
"('making', 'final')",4
"('missed', 'making')",4
"('👥', 'missed')",4
"('olympics', 'bbcolympics')",4
"('lee', 'jordan')",4
"('feminina', 'chegou')",4
"('lucia', 'proud')",4
"('moment', 'remember')",4
"('proud', 'thrilled')",4
"('laure', 'manaudou')",4
"('manaudou', 'olympic')",4
"('san', 'isidro')",4
"('olympic', 'champiofrance')",4
"('champiofrance', 'paris2024')",4
"('le', 'reprsentants')",4
"('mujhe', 'lagta')",4
"('lagta', 'coach')",4
"('du', 'tdf2017')",4
"('projet', 'innovant')",4
"('coach', 'itna')",4
"('european', '👥')",4
"('itna', 'girenge')",4
"('girenge', 'said')",4
"('chegaram', 'seleo')",4
"('si', 'tu')",4
"('olympics2024', 'saintlucia')",4
"('julienalfred', 'olympics2024')",4
"('achievement', 'julienalfred')",4
"('honor', 'incredible')",4
"('toutes', 'et')",4
"('et', 'tous')",4
"('tous', 'merci')",4
"('said', 'former')",4
"('former', 'wrestling')",4
"('race', 'walkparis2024olympics2024racewalk')",4
"('ensemble', 'nous')",4
"('somme', 'fort')",4
"('thrilled', 'honor')",4
"('senior', 'national')",4
"('olympics2024', 'olympicsgd')",4
"('dream', 'legendary')",4
"('brasileiro', 'est')",4
"('camera', 'here')",4
"('here', 'latest')",4
"('latest', 'paris')",4
"('paris', 'tvpatrol')",4
"('tvpatrol', 'paris')",4
"('paris', 'frans')",4
"('frans', 'news')",4
"('news', 'journalist')",4
"('watch', 'paris')",4
"('carambolitasjogosolmpicos', 'timebrasil')",4
"('brasil', 'carambolitasjogosolmpicos')",4
"('paris', 'brasil')",4
"('final', 'em')",4
"('vlei', 'brasileiro')",4
"('woman', 'football')",4
"('olmpicao', 'vlei')",4
"('final', 'olmpicao')",4
"('esto', 'na')",4
"('e', 'esto')",4
"('por', 'e')",4
"('vencem', 'por')",4
"('duda', 'vencem')",4
"('chile', 'best')",4
"('best', 'reaction')",4
"('empatado', 'final')",4
"('set', 'empatado')",4
"('finalvamosdepois', 'set')",4
"('brasil', 'finalvamosdepois')",4
"('piece', 'camera')",4
"('ptc', 'piece')",4
"('tagalog', 'ptc')",4
"('last', 'tagalog')",4
"('paris2024', 'medley')",4
"('brasa', 'jogosolmpicos')",4
"('taekwondo', 'brasa')",4
"('final', 'american')",4
"('take', 'favorite')",4
"('garantiu', 'taekwondo')",4
"('e', 'garantiu')",4
"('show', 'e')",4
"('deu', 'um')",4
"('netinho', 'deu')",4
"('espanhol', 'netinho')",4
"('paris2024', 'thanks')",4
"('contra', 'espanhol')",4
"('luta', 'contra')",4
"('grande', 'luta')",4
"('uma', 'grande')",4
"('em', 'uma')",4
"('favorite', '🏆')",4
"('loving', 'idiot')",4
"('pons', 'netinho')",4
"('trans', 'loving')",4
"('listen', 'trans')",4
"('sop2018', 'paris2024')",4
"('age', 'last')",4
"('support', 'athlete')",4
"('summer', 'parisolympics')",4
"('e', 'paris2024')",4
"('reaction', 'found')",4
"('found', 'woman')",4
"('paris2024', 'fdj')",4
"('lowe', 'pole')",4
"('top4', 'plata')",4
"('plata', 'mundial')",4
"('mundial', 'sensaciones')",4
"('sensaciones', 'carolina')",4
"('carolina', 'top')",4
"('top', 'top4')",4
"('top4', '🌎')",4
"('🌎', 'ranking')",4
"('ranking', 'llegar')",4
"('llegar', 'paris2024')",4
"('classificar', 'para')",4
"('se', 'classificar')",4
"('vault', 'triumph')",4
"('spoke', 'nbcsports')",4
"('baarlar', 'diliyorum')",4
"('festshe', 'spoke')",4
"('fan', 'festshe')",4
"('league', 'fan')",4
"('premier', 'league')",4
"('nashville', 'premier')",4
"('party', 'nashville')",4
"('joined', 'party')",4
"('ktnago13', 'joined')",4
"('moon', 'ktnago13')",4
"('👑', 'moon')",4
"('🌎', 'olympic')",4
"('seal', 'deal')",4
"('deal', 'united')",4
"('ser', 'top4')",4
"('por', 'ser')",4
"('tai', 'por')",4
"('con', 'tai')",4
"('brezilya', 'karsnda')",4
"('ediyor', 'brezilya')",4
"('tebrik', 'ediyor')",4
"('fileninsultanlarn', 'tebrik')",4
"('yaatan', 'fileninsultanlarn')",4
"('heyecan', 'yaatan')",4
"('final', 'heyecan')",4
"('yar', 'final')",4
"('triumph', 'parisolympics')",4
"('kez', 'yar')",4
"('ilk', 'kez')",4
"('tarihimizde', 'ilk')",4
"('olimpiyat', 'tarihimizde')",4
"('baaryla', 'olimpiyat')",4
"('floor', 'final')",4
"('kaylyn', 'brown')",4
"('brown', 'seal')",4
"('gsterdikleri', 'baaryla')",4
"('madalyaparis2024te', 'gsterdikleri')",4
"('bronz', 'madalyaparis2024te')",4
"('hedefimiz', 'bronz')",4
"('olympic', 'torch')",4
"('subcampeona', '🌎')",4
"('🌎', 'tour')",4
"('tour', 'final')",4
"('final', 'premio')",4
"('premio', 'con')",4
"('idiot', 'saying')",4
"('saying', 'stick')",4
"('flight', 'dream')",4
"('preuve', 'jeuxolympiques')",4
"('prsente', 'par')",4
"('silvermedal', 'javelinthrow')",4
"('singh', 'punjab')",4
"('get', 'silver')",4
"('man', 'get')",4
"('white', 'man')",4
"('downside', 'white')",4
"('bronzeonly', 'downside')",4
"('got', 'bronzeonly')",4
"('le', 'petit')",4
"('javelinthrow', 'athleticsjavelinthrow')",4
"('athleticsjavelinthrow', 'olympics2024')",4
"('akshdeep', 'singh')",4
"('pain', 'say')",4
"('shivanigupta5', 'latest')",4
"('prepare', 'paris')",4
"('race', 'final')",4
"('winner', 'go')",4
"('truly', 'winner')",4
"('theyre', 'truly')",4
"('piece', 'theyre')",4
"('winner', 'piece')",4
"('real', 'winner')",4
"('say', 'nita')",4
"('teamgb', 'olympics')",4
"('way', 'make')",4
"('ambani', 'news18s')",4
"('news18s', 'shivanigupta5')",4
"('punjab', 'confident')",4
"('confident', 'winning')",4
"('en', 'ou')",4
"('silver', 'olympics2024')",4
"('giving', 'flight')",4
"('fly', 'giving')",4
"('chopra', 'let')",4
"('violation', 'semifinal')",4
"('parisolympics', 'tisl')",4
"('gearing', 'parisolympics')",4
"('start', 'gearing')",4
"('time', 'start')",4
"('con', 'los')",4
"('athletics', 'chandigarh')",4
"('todayparis2024olympics2024', 'athletics')",4
"('paralympiques', 'une')",4
"('une', 'fiert')",4
"('fiert', 'pour')",4
"('france', 'flicitations')",4
"('flicitations', 'au')",4
"('lacoste', 'support')",4
"('semifinal', 'south')",4
"('la', 'site')",4
"('africa', 'race')",4
"('en', 'transportsidf')",4
"('pm', 'pmmodi')",4
"('competition', 'todayparis2024olympics2024')",4
"('walking', 'competition')",4
"('pmmodi', 'neerajchopra')",4
"('indian', 'open')",4
"('reacts', 'vinesh')",4
"('sportifs', 'nous')",4
"('event', 'tomorrow')",4
"('greatness', 'fiba')",4
"('drug', 'dont')",4
"('many', 'drug')",4
"('matter', 'many')",4
"('man', 'matter')",4
"('always', 'man')",4
"('man', 'always')",4
"('thomas', 'man')",4
"('womenlia', 'thomas')",4
"('compete', 'womenlia')",4
"('liathomas', 'compete')",4
"('people', 'liathomas')",4
"('see', 'people')",4
"('want', 'see')",4
"('dont', 'want')",4
"('lambition', 'un')",4
"('update', 'akankshaswarups')",4
"('partager', 'avec')",4
"('kid', 'drug')",4
"('monumental', 'upset')",4
"('rencontre', 'entre')",4
"('le', 'prsidents')",4
"('sur', 'notre')",4
"('tgifstoolpresidente', 'mlb')",4
"('opening', 'routine')",4
"('show', 'opening')",4
"('logistx', 'put')",4
"('breaker', 'logistx')",4
"('fiba', 'paris2024')",4
"('stick', 'kid')",4
"('drug', 'take')",4
"('take', 'keepmenoutofwomenssports')",4
"('keepmenoutofwomenssports', 'transcheats')",4
"('transcheats', 'olympics2024')",4
"('tomorrow', 'night')",4
"('farewell', 'pr')",4
"('akankshaswarups', 'vineshphogat')",4
"('faulkner', '🥇')",4
"('sreejesh', 'paris2024')",4
"('olympics', 'hockeyindia')",4
"('hockeyindia', 'thekhelindia')",4
"('🥇', 'medalwinning')",4
"('medalwinning', 'move')",4
"('nouvelles', 'service')",4
"('move', 'electric')",4
"('electric', 'scene')",4
"('iledefrance', 'readyfor24')",4
"('comme', 'nous')",4
"('night', 'cat')",4
"('scene', 'paris')",4
"('macron', 'paris2024')",4
"('paris', '🏆')",4
"('cat', 'paris2024')",4
"('paris2024', 'cio')",4
"('welcome', 'olympic')",4
"('woman', 'cycling')",4
"('cycling', 'road')",4
"('road', 'race')",4
"('race', '🏅')",4
"('🏅', 'forty')",4
"('forty', 'year')",4
"('men', 'indian')",4
"('sur', 'laccord')",4
"('gaza', 'strip')",4
"('moment', 'fort')",4
"('readyfor24', 'agenda2020')",4
"('point', 'far')",4
"('far', 'parisolympics')",4
"('run', 'fastest')",4
"('fastest', '🌎')",4
"('consigui', 'llevarse')",4
"('year', 'qualify')",4
"('today', 'indiabritain')",4
"('indiabritain', 'match')",4
"('match', 'breathtaking')",4
"('breathtaking', 'hardik')",4
"('hardik', 'singh')",4
"('singh', 'hockey')",4
"('parisolympics', 'jio')",4
"('jio', 'cinema')",4
"('sportive', 'et')",4
"('tant', 'que')",4
"('fait', 'cest')",4
"('marathonswimming', 'taddeucci')",4
"('nuoto', 'marathonswimming')",4
"('bronzo', 'homeoftheolympics')",4
"('vibe', 'turkey')",4
"('turkey', 'yusuf')",4
"('yusuf', '🏆')",4
"('silver', 'fan')",4
"('fan', 'heart')",4
"('co', 'bronzo')",4
"('conquista', 'co')",4
"('heart', 'olympics')",4
"('accorddeparis', 'readyfor24')",4
"('goodbye', 'comit')",4
"('best', 'point')",4
"('do', 'estados')",4
"('paris2024', 'consigui')",4
"('paris2024', 'se')",4
"('percent', 'people')",4
"('parislutte2017', 'accorharena')",4
"('people', 'felt')",4
"('felt', 'paris')",4
"('grand', 'vnement')",4
"('en', 'avant')",4
"('assim', 'vendo')",4
"('vendo', 'jogo')",4
"('jogo', 'brasil')",4
"('brasil', 'e')",4
"('e', 'do')",4
"('olympics', 'openingceremony')",4
"('sampler', 'best')",4
"('openingceremony', 'olympicgames')",4
"('olympiclevel', 'table')",4
"('tennis', 'different')",4
"('ohasan', 'yjauzion')",4
"('different', 'enjoy')",4
"('feront', 'le')",4
"('qui', 'feront')",4
"('enjoy', 'sampler')",4
"('relever', 'pour')",4
"('challenge', 'relever')",4
"('nouveau', 'challenge')",4
"('hello', 'cojo')",4
"('candidature', 'hello')",4
"('gara', 'e')",4
"('grande', 'gara')",4
"('una', 'grande')",4
"('olmpico', 'sus')",4
"('love', 'share')",4
"('fangirls', 'parisolympics')",4
"('la', 'dans')",4
"('llevarse', 'diploma')",4
"('mtro', 'certainement')",4
"('certainement', 'ce')",4
"('fait', 'pencher')",4
"('pencher', 'la')",4
"('la', 'balance')",4
"('balance', 'faveur')",4
"('faveur', 'paris2024')",4
"('came', 'home')",4
"('fort', 'lance')",4
"('share', 'passion')",4
"('mariska', 'hargitay')",4
"('quand', 'mccrocco')",4
"('mccrocco', 'veut')",4
"('veut', 'tre')",4
"('tre', 'soutenir')",4
"('beachvolley', 'au')",4
"('sus', 'primeros')",4
"('lance', 'vraiment')",4
"('au', 'venezpartager')",4
"('olmpicos', 'al')",4
"('cio', 'qui')",4
"('year', 'later')",4
"('return', 'paris')",4
"('il', 'ont')",4
"('hargitay', 'fangirls')",4
"('pa', 'faire')",4
"('fa', 'una')",4
"('athlete', 'training')",4
"('lazzurra', 'fa')",4
"('senna', 'lazzurra')",4
"('la', 'senna')",4
"('dentro', 'la')",4
"('libere', 'dentro')",4
"('acque', 'libere')",4
"('indiahockeyteam', 'cheer4bharat')",4
"('medalist', 'indiahockeyteam')",4
"('gip', 'paris2024')",4
"('du', 'gip')",4
"('dadministration', 'du')",4
"('olympics2024', 'medalist')",4
"('dernier', 'conseil')",4
"('con', 'este')",4
"('une', 'campagne')",4
"('este', 'video')",4
"('par', 'da')",4
"('le', 'triathlon')",4
"('even', '🥇')",4
"('readyfor24', 'tdf2017')",4
"('nella', 'acque')",4
"('taddeucci', 'nella')",4
"('ginevra', 'taddeucci')",4
"('di', 'ginevra')",4
"('👑', 'mariska')",4
"('capolavoro', 'di')",4
"('host', 'olympics')",4
"('laura', 'flessel')",4
"('participacin', 'paris2024')",4
"('finaliza', 'su')",4
"('al', 'finalizar')",4
"('estudillo', 'finaliza')",4
"('recordad', 'este')",4
"('mara', 'recordad')",4
"('lvaro', 'mara')",4
"('france', 'lvaro')",4
"('himno', 'france')",4
"('retumba', 'el')",4
"('javelin', 'athletics')",4
"('clbrer', 'le')",4
"('yusneylysguzman', 'vineshphogat')",4
"('beau', 'symbole')",4
"('neerajchopra1', 'javelin')",4
"('pawankalyan', 'neerajchopra1')",4
"('le', 'tour')",4
"('last', 'chance')",4
"('live', 'stream')",4
"('olympics', 'achievement')",4
"('olympics2024', 'france')",4
"('au', 'programme')",4
"('trop', 'fort')",4
"('parisolympics2024', 'olympics2024paris')",4
"('read', 'parisolympics2024')",4
"('parisolympics', 'read')",4
"('parisolympics', 'first')",4
"('bittersweet', 'silver')",4
"('settled', 'bittersweet')",4
"('neerajchopra', 'settled')",4
"('israel', 'olympics2024repeat')",4
"('olympics2024repeat', 'banisraelfromolympics')",4
"('biological', 'male')",4
"('momento', 'porque')",4
"('athletics', 'olympicsparis2024')",4
"('porque', 'se')",4
"('mercredi', 'septembre')",4
"('millennial', 'culture')",4
"('su', 'competencia')",4
"('greek', 'millennial')",4
"('ceremony', 'greek')",4
"('wait', 'paris2024')",4
"('tras', 'su')",4
"('novio', 'tras')",4
"('su', 'novio')",4
"('be', 'su')",4
"('harrison', 'be')",4
"('campbell', 'harrison')",4
"('escalador', 'campbell')",4
"('que', 'escalador')",4
"('soir', 'pour')",4
"('se', 'o')",4
"('cio', 'readyfor24')",4
"('foi', 'primeira')",4
"('votre', 'accueil')",4
"('hockey', 'first')",4
"('🏆', 'consecutive')",4
"('mobilise', 'pour')",4
"('paris2024', 'prte')",4
"('gretchen', 'walsh')",4
"('grabado', 'pars2024')",4
"('quedar', 'grabado')",4
"('va', 'quedar')",4
"('comit', 'athltes')",4
"('o', 'va')",4
"('skill', 'display')",4
"('display', 'today')",4
"('teamusa', 'trainlikeanolympian')",4
"('itparis2024', 'parisolympics')",4
"('youtholympics', 'lun8')",4
"('olympics', 'youtholympics')",4
"('winter', 'olympics')",4
"('youth', 'winter')",4
"('gangwon', 'youth')",4
"('conspiracy', 'parisolympics')",4
"('performance', 'gangwon')",4
"('fear', 'conspiracy')",4
"('heart', 'performance')",4
"('expressed', 'fear')",4
"('april', 'expressed')",4
"('harayegajisne', 'haraya')",4
"('phogatvinesh', 'april')",4
"('justify', 'itparis2024')",4
"('fighter', 'street')",4
"('ever', 'justify')",4
"('tear', 'ever')",4
"('alongno', 'tear')",4
"('kya', 'harayegajisne')",4
"('cheating', 'alongno')",4
"('winning', 'cheating')",4
"('olympiques', 'losangeles')",4
"('losangeles', 'angeles')",4
"('angeles', 'vote')",4
"('daur', 'kya')",4
"('ek', 'daur')",4
"('use', 'ek')",4
"('aos', 'estudillo')",4
"('brave', 'fighter')",4
"('street', 'class')",4
"('olympics', 'teamusa')",4
"('nous', 'paris2024')",4
"('parisgames', 'olympics')",4
"('parisolympics', 'parisgames')",4
"('defensepublichealth', 'paris2024')",4
"('sleep', 'defensepublichealth')",4
"('hour', 'sleep')",4
"('tonight', 'hour')",4
"('foundation', 'tonight')",4
"('winning', 'foundation')",4
"('building', 'winning')",4
"('start', 'building')",4
"('👑', 'start')",4
"('sleep', '👑')",4
"('paris2024', 'manubhaker')",4
"('intjudofed', 'judoworlds2017')",4
"('class', 'athlete')",4
"('paris2024', 'qualification')",4
"('j100', 'paris2024')",4
"('avon', 'vcu')",4
"('vcu', 'un')",4
"('ho', 'phogatvinesh')",4
"('zamana', 'ho')",4
"('haraya', 'zamana')",4
"('phogat', 'parisolympicsvineshphogat')",4
"('congratulation', 'vinesh')",4
"('idol', 'congratulation')",4
"('truly', 'idol')",4
"('mat', 'truly')",4
"('athlete', 'mat')",4
"('paris2024', 'neerajchopragold')",4
"('🥇', 'earthquake')",4
"('palais', 'tdf2017')",4
"('jo', 'donc')",4
"('penalti', 'haiyaa')",4
"('haiyaa', 'pinter')",4
"('pinter', 'akting')",4
"('akting', 'babang')",4
"('agreement', 'host')",4
"('endthegenocide', 'palestine')",4
"('🎮', 'instead')",4
"('paris2024', 'trace')",4
"('trace', 'sa')",4
"('sa', 'route')",4
"('route', 'droite')",4
"('droite', 'et')",4
"('et', 'rapide')",4
"('rapide', 'vers')",4
"('vers', 'son')",4
"('son', 'objectif')",4
"('objectif', 'nofaithnowin')",4
"('seront', 'bien')",4
"('babang', 'guinea')",4
"('bien', 'parisparis2024')",4
"('freegaza', 'endthegenocide')",4
"('olympics', 'freegaza')",4
"('participating', 'olympics')",4
"('parijs', 'olympische')",4
"('olympische', 'spelen')",4
"('spelen', 'paris2024')",4
"('paris2024', 'o')",4
"('breaking', 'newsparis')",4
"('newsparis', 'host')",4
"('ngasih', 'penalti')",4
"('wasit', 'ngasih')",4
"('reached', 'agreement')",4
"('tras', 'llegar')",4
"('dilanggar', 'pun')",4
"('karat', 'devient')",4
"('pun', 'diluar')",4
"('paris2024', 'ffkarate')",4
"('specialist', 'elmo')",4
"('jo', 'pour')",4
"('protesting', 'xparis2024')",4
"('woman', 'protesting')",4
"('diluar', 'kotak')",4
"('male', 'woman')",4
"('beaten', 'male')",4
"('woman', 'beaten')",4
"('kotak', 'penalti')",4
"('llegar', 'un')",4
"('angeles', 'reached')",4
"('un', 'acuerdo')",4
"('acuerdo', 'par')",4
"('palestine', 'sport')",4
"('jjoo', 'los')",4
"('penalti', 'lahh')",4
"('ngeles', 'lo')",4
"('lo', 'har')",4
"('har', 'jjoo')",4
"('jjoo', 'pars2024')",4
"('pars2024', 'losangeles2028')",4
"('lahh', 'malah')",4
"('malah', 'wasit')",4
"('begin', 'los')",4
"('🎮', 'la')",4
"('olympic', 'paris2024')",4
"('le', 'nageur')",4
"('la', 'reste')",4
"('une', 'annonce')",4
"('nyaidnvsgui23', 'indonesiau23')",4
"('indonesiau23', 'olympics2024')",4
"('parisolympics2024', 'ioc')",4
"('annonce', 'inattendue')",4
"('inattendue', 'rapidement')",4
"('rapidement', 'faite')",4
"('faite', 'sur')",4
"('📈', 'mixed')",4
"('laccord', 'entre')",4
"('civilian', 'need')",4
"('innocent', 'civilian')",4
"('mainly', 'innocent')",4
"('reste', 'donc')",4
"('guinea', 'nyaidnvsgui23')",4
"('donc', 'la')",4
"('dead', 'mainly')",4
"('pour', 'jo2024')",4
"('member', 'nita')",4
"('remco', 'evenepoel')",4
"('ambani', 'reacts')",4
"('tdf2017', 'armeedelair')",4
"('armeedelair', 'come')",4
"('come', 'fly')",4
"('fly', 'let')",4
"('strip', 'dead')",4
"('super', 'moment')",4
"('moment', 'grand')",4
"('need', 'ireland')",4
"('ireland', 'urge')",4
"('nageur', 'normand')",4
"('notre', 'capitale')",4
"('normand', 'loganatswim')",4
"('loganatswim', 'soutient')",4
"('athlete', 'participating')",4
"('vous', 'cc')",4
"('franceolympique', 'ffnatation')",4
"('ffnatation', 'regionnormandie')",4
"('regionnormandie', 'vikingsderouen')",4
"('israeli', 'athlete')",4
"('jo2024', 'accueillir')",4
"('ban', 'israeli')",4
"('call', 'ban')",4
"('opportunit', 'un')",4
"('un', 'dfi')",4
"('capitale', 'et')",4
"('officielle', 'le')",4
"('council', 'call')",4
"('grand', 'paris')",4
"('paris2024', 'cnosfpresse')",4
"('auront', 'bien')",4
